"value","count","cumsum","pct"
"dr",12061,20899567,44.6
"teams",12050,20911617,44.63
"choice",12045,20923662,44.65
"cup",12032,20935694,44.68
"practice",12021,20947715,44.7
"followers",12013,20959728,44.73
"council",12005,20971733,44.75
"opening",11999,20983732,44.78
"busy",11998,20995730,44.81
"table",11998,21007728,44.83
"dad",11984,21019712,44.86
"member",11955,21031667,44.88
"loss",11929,21043596,44.91
"bought",11911,21055507,44.93
"provide",11856,21067363,44.96
"sports",11817,21079180,44.98
"moved",11803,21090983,45.01
"study",11785,21102768,45.03
"interest",11784,21114552,45.06
"opportunity",11768,21126320,45.08
"deep",11766,21138086,45.11
"medical",11747,21149833,45.13
"michael",11744,21161577,45.16
"dance",11734,21173311,45.18
"totally",11729,21185040,45.21
"ideas",11712,21196752,45.23
"focus",11708,21208460,45.26
"extra",11693,21220153,45.28
"track",11673,21231826,45.31
"hi",11658,21243484,45.33
"view",11644,21255128,45.36
"portland",11630,21266758,45.38
"followed",11621,21278379,45.41
"hospital",11605,21289984,45.43
"learned",11586,21301570,45.46
"agree",11580,21313150,45.48
"details",11551,21324701,45.51
"cute",11542,21336243,45.53
"press",11528,21347771,45.56
"financial",11495,21359266,45.58
"character",11489,21370755,45.61
"hall",11489,21382244,45.63
"minute",11489,21393733,45.65
"beach",11486,21405219,45.68
"test",11471,21416690,45.7
"safe",11467,21428157,45.73
"private",11449,21439606,45.75
"industry",11445,21451051,45.78
"learning",11443,21462494,45.8
"despite",11412,21473906,45.83
"ha",11410,21485316,45.85
"sitting",11409,21496725,45.87
"difficult",11405,21508130,45.9
"text",11403,21519533,45.92
"bowl",11384,21530917,45.95
"note",11382,21542299,45.97
"eye",11353,21553652,46
"sister",11351,21565003,46.02
"ground",11347,21576350,46.04
"development",11336,21587686,46.07
"lose",11329,21599015,46.09
"restaurant",11323,21610338,46.12
"completely",11316,21621654,46.14
"pictures",11289,21632943,46.16
"workers",11281,21644224,46.19
"double",11275,21655499,46.21
"tickets",11259,21666758,46.24
"judge",11257,21678015,46.26
"box",11255,21689270,46.29
"ice",11242,21700512,46.31
"oregon",11241,21711753,46.33
"wall",11240,21722993,46.36
"evening",11233,21734226,46.38
"higher",11222,21745448,46.41
"certain",11206,21756654,46.43
"quickly",11183,21767837,46.45
"role",11172,21779009,46.48
"type",11164,21790173,46.5
"chief",11160,21801333,46.52
"winning",11158,21812491,46.55
"listen",11145,21823636,46.57
"written",11113,21834749,46.6
"tour",11108,21845857,46.62
"position",11100,21856957,46.64
"rain",11096,21868053,46.67
"release",11064,21879117,46.69
"truth",11059,21890176,46.71
"security",11058,21901234,46.74
"listening",11057,21912291,46.76
