"","value","count","cumsum","pct"
"436","saying",7761,24596122,74.79
"437","needs",7731,24603853,74.82
"438","summer",7726,24611579,74.84
"439","move",7709,24619288,74.86
"440","law",7679,24626967,74.89
"441","watch",7626,24634593,74.91
"442","buy",7618,24642211,74.93
"443","running",7589,24649800,74.96
"444","amazing",7580,24657380,74.98
"445","seem",7566,24664946,75
"446","eat",7558,24672504,75.02
"447","simple",7523,24680027,75.05
"448","area",7516,24687543,75.07
"449","inside",7503,24695046,75.09
"450","tried",7503,24702549,75.12
"451","company",7493,24710042,75.14
"452","future",7467,24717509,75.16
"453","haven",7449,24724958,75.18
"454","green",7442,24732400,75.21
"455","plan",7440,24739840,75.23
"456","interesting",7426,24747266,75.25
"457","e",7415,24754681,75.27
"458","history",7414,24762095,75.3
"459","possible",7413,24769508,75.32
"460","sweet",7409,24776917,75.34
"461","usually",7394,24784311,75.36
"462","support",7384,24791695,75.39
"463","based",7365,24799060,75.41
"464","store",7362,24806422,75.43
"465","process",7352,24813774,75.45
"466","husband",7309,24821083,75.48
"467","stay",7276,24828359,75.5
"468","system",7266,24835625,75.52
"469","walk",7245,24842870,75.54
"470","piece",7228,24850098,75.56
"471","yourself",7198,24857296,75.59
"472","social",7190,24864486,75.61
"473","son",7072,24871558,75.63
"474","thanks",7063,24878621,75.65
"475","upon",7033,24885654,75.67
"476","learn",7030,24892684,75.69
"477","character",7010,24899694,75.72
"478","following",6974,24906668,75.74
"479","longer",6955,24913623,75.76
"480","talking",6926,24920549,75.78
"481","space",6922,24927471,75.8
"482","late",6917,24934388,75.82
"483","spent",6909,24941297,75.84
"484","himself",6885,24948182,75.86
"485","war",6876,24955058,75.88
"486","age",6866,24961924,75.9
"487","themselves",6839,24968763,75.93
"488","door",6819,24975582,75.95
"489","create",6782,24982364,75.97
"490","completely",6777,24989141,75.99
"491","town",6764,24995905,76.01
"492","anyway",6753,25002658,76.03
"493","season",6743,25009401,76.05
"494","guy",6719,25016120,76.07
"495","ways",6717,25022837,76.09
"496","cool",6715,25029552,76.11
"497","dark",6715,25036267,76.13
"498","form",6698,25042965,76.15
"499","added",6696,25049661,76.17
"500","hot",6680,25056341,76.19
"501","boy",6652,25062993,76.21
"502","works",6652,25069645,76.23
"503","clear",6645,25076290,76.25
"504","cannot",6635,25082925,76.27
"505","single",6627,25089552,76.29
"506","community",6608,25096160,76.31
"507","lots",6606,25102766,76.33
"508","guess",6603,25109369,76.35
"509","gone",6591,25115960,76.37
"510","level",6578,25122538,76.39
"511","c",6562,25129100,76.41
