"value","count","cumsum","pct"
"follow hope entertained",51,59919,10.88
"food fact day",51,59970,10.89
"going school tomorrow",51,60021,10.9
"gonna great day",51,60072,10.91
"good morning people",51,60123,10.92
"hope entertained read",51,60174,10.93
"info www com",51,60225,10.94
"let know going",51,60276,10.95
"let know works",51,60327,10.95
"life worth living",51,60378,10.96
"like way think",51,60429,10.97
"looking forward checking",51,60480,10.98
"national grilled cheese",51,60531,10.99
"oh know just",51,60582,11
"performance last night",51,60633,11.01
"play video games",51,60684,11.02
"really really good",51,60735,11.03
"really really want",51,60786,11.04
"shots shots shots",51,60837,11.05
"thank look forward",51,60888,11.06
"trainer max body",51,60939,11.07
"website coming soon",51,60990,11.08
"wine guide following",51,61041,11.08
"yr old son",51,61092,11.09
"bed good night",50,61142,11.1
"days left school",50,61192,11.11
"don know good",50,61242,11.12
"don think get",50,61292,11.13
"don think just",50,61342,11.14
"facebook fan page",50,61392,11.15
"happy birthday favorite",50,61442,11.16
"let know got",50,61492,11.17
"like last night",50,61542,11.18
"make look good",50,61592,11.18
"really appreciate support",50,61642,11.19
"really don understand",50,61692,11.2
"repeatedly excellence act",50,61742,11.21
"rock roll hall",50,61792,11.22
"weekend looking forward",50,61842,11.23
"birthday kind donuts",49,61891,11.24
"definitely let know",49,61940,11.25
"doing great things",49,61989,11.26
"don think know",49,62038,11.27
"donuts like dd",49,62087,11.27
"feel like crying",49,62136,11.28
"great customer service",49,62185,11.29
"happy birthday kind",49,62234,11.3
"happy opening day",49,62283,11.31
"hot chili peppers",49,62332,11.32
"just go away",49,62381,11.33
"just started watching",49,62430,11.34
"just thought let",49,62479,11.35
"kind donuts like",49,62528,11.35
"let games begin",49,62577,11.36
"let know come",49,62626,11.37
"let know ready",49,62675,11.38
"make eye contact",49,62724,11.39
"oh don know",49,62773,11.4
"pm don miss",49,62822,11.41
"th july weekend",49,62871,11.42
"thank hard work",49,62920,11.43
"tomorrow big day",49,62969,11.43
"won want miss",49,63018,11.44
"completed food exercise",48,63066,11.45
"day good day",48,63114,11.46
"day great day",48,63162,11.47
"follow get followers",48,63210,11.48
"food exercise diary",48,63258,11.49
"get new phone",48,63306,11.5
"going bed goodnight",48,63354,11.5
"gotta go work",48,63402,11.51
"hard play hard",48,63450,11.52
"holiday season app",48,63498,11.53
"looking forward catching",48,63546,11.54
"president united states",48,63594,11.55
"really don think",48,63642,11.56
"san antonio tx",48,63690,11.57
"welcome max life",48,63738,11.57
"birthday love follow",47,63785,11.58
"day just got",47,63832,11.59
"dynamic ip server",47,63879,11.6
"fifty shades grey",47,63926,11.61
"gas gas gas",47,63973,11.62
"going bed night",47,64020,11.63
"good food good",47,64067,11.63
"good morning tweeters",47,64114,11.64
"gov scott walker",47,64161,11.65
"great day love",47,64208,11.66
"looking forward following",47,64255,11.67
"looking forward visit",47,64302,11.68
"mind don matter",47,64349,11.69
"night looking forward",47,64396,11.69
"season app check",47,64443,11.7
"thanks hope having",47,64490,11.71
"tweet let know",47,64537,11.72
"big day tomorrow",46,64583,11.73
"care anyone says",46,64629,11.74
"don know use",46,64675,11.74
"favorite song love",46,64721,11.75
"feel free send",46,64767,11.76
"give away free",46,64813,11.77
"good luck man",46,64859,11.78
"great game tonight",46,64905,11.79
"great mother day",46,64951,11.79
"home based business",46,64997,11.8
"hope wonderful weekend",46,65043,11.81
"house last night",46,65089,11.82
"just thinking thing",46,65135,11.83
"live music tonight",46,65181,11.84
"looking forward talking",46,65227,11.84
"make sure tune",46,65273,11.85
"matter hard try",46,65319,11.86
"new music coming",46,65365,11.87
"reading hunger games",46,65411,11.88
"saturday night live",46,65457,11.89
"spending time family",46,65503,11.89
"stuck head day",46,65549,11.9
"think gonna go",46,65595,11.91
"think good idea",46,65641,11.92
"twitter account hacked",46,65687,11.93
"week www com",46,65733,11.94
"win super bowl",46,65779,11.95
"www com new",46,65825,11.95
"appreciate kind words",45,65870,11.96
"april fools joke",45,65915,11.97
"birthday hope good",45,65960,11.98
"body hollywood body",45,66005,11.99
"day www com",45,66050,11.99
"email let know",45,66095,12
"feel like get",45,66140,12.01
"getting nails done",45,66185,12.02
"giving away tickets",45,66230,12.03
"go work today",45,66275,12.04
"good luck great",45,66320,12.04
"good luck guys",45,66365,12.05
"good morning new",45,66410,12.06
"great seeing last",45,66455,12.07
"happy turkey day",45,66500,12.08
"hollywood body club",45,66545,12.08
"just got really",45,66590,12.09
"just saw new",45,66635,12.1
"like love song",45,66680,12.11
"little things life",45,66725,12.12
"looking forward event",45,66770,12.12
"make sure let",45,66815,12.13
"max body hollywood",45,66860,12.14
"really just want",45,66905,12.15
"sat word day",45,66950,12.16
"sorry hear hope",45,66995,12.17
"chocolate peanut butter",44,67039,12.17
"coming stage world",44,67083,12.18
"community volume trading",44,67127,12.19
"day san diego",44,67171,12.2
"did just get",44,67215,12.21
"don know did",44,67259,12.21
"eating ice cream",44,67303,12.22
"get www com",44,67347,12.23
"great way spend",44,67391,12.24
"happy birthday mom",44,67435,12.25
"happy birthday mr",44,67479,12.25
"hey just wanted",44,67523,12.26
"just bought tickets",44,67567,12.27
"keep hard work",44,67611,12.28
"kids eat free",44,67655,12.29
"like real life",44,67699,12.29
"madison square garden",44,67743,12.3
"stage world famous",44,67787,12.31
"take breath away",44,67831,12.32
"thank birthday wishes",44,67875,12.33
"think might just",44,67919,12.33
"think safe say",44,67963,12.34
"trading sentiment short",44,68007,12.35
"volume trading sentiment",44,68051,12.36
"chronicle press release",43,68094,12.37
"click follow button",43,68137,12.37
"day don forget",43,68180,12.38
"did just hear",43,68223,12.39
"does get better",43,68266,12.4
"far far away",43,68309,12.4
"feel free ask",43,68352,12.41
"feel like don",43,68395,12.42
"follow make happy",43,68438,12.43
"francisco chronicle press",43,68481,12.44
"free ice cream",43,68524,12.44
"good luck fun",43,68567,12.45
"good luck let",43,68610,12.46
"good morning sunshine",43,68653,12.47
"good morning time",43,68696,12.47
"got done watching",43,68739,12.48
"happy president day",43,68782,12.49
"happy thanksgiving thankful",43,68825,12.5
"hate people don",43,68868,12.51
"join www com",43,68911,12.51
"just got great",43,68954,12.52
"just trying make",43,68997,12.53
"looking forward good",43,69040,12.54
"looks like having",43,69083,12.55
"make sure tell",43,69126,12.55
"note self don",43,69169,12.56
"really really like",43,69212,12.57
"roll hall fame",43,69255,12.58
"say don know",43,69298,12.58
"thank great weekend",43,69341,12.59
"thanks following robin",43,69384,12.6
"today don know",43,69427,12.61
"www com great",43,69470,12.62
"www com info",43,69513,12.62
"available www com",42,69555,12.63
"best way make",42,69597,12.64
"chocolate chip cookie",42,69639,12.65
"don forget come",42,69681,12.65
"email dot com",42,69723,12.66
"feel free email",42,69765,12.67
"feel free follow",42,69807,12.68
"followers follow follow",42,69849,12.68
"going explode hours",42,69891,12.69
"happy birthday brother",42,69933,12.7
"hope feels better",42,69975,12.71
"know key success",42,70017,12.71
"let know good",42,70059,12.72
"like great idea",42,70101,12.73
"looking forward today",42,70143,12.74
"looks lot like",42,70185,12.75
"love hear thoughts",42,70227,12.75
"love single videos",42,70269,12.76
"make sure stay",42,70311,12.77
"morning looking forward",42,70353,12.78
"need make sure",42,70395,12.78
"practice makes perfect",42,70437,12.79
"really hope get",42,70479,12.8
"single going explode",42,70521,12.81
"single videos youtube",42,70563,12.81
"soon get home",42,70605,12.82
"thank let know",42,70647,12.83
"twitter won let",42,70689,12.84
"way start weekend",42,70731,12.84
"anyone recommend good",41,70772,12.85
"birthday hope amazing",41,70813,12.86
"birthday today austin",41,70854,12.87
"don know key",41,70895,12.87
"don really need",41,70936,12.88
"don remember last",41,70977,12.89
"don say anything",41,71018,12.9
"friends birthday happy",41,71059,12.9
"get followers follow",41,71100,12.91
"gonna good night",41,71141,12.92
"gonna try get",41,71182,12.93
"good looking forward",41,71223,12.93
"got home work",41,71264,12.94
"great day get",41,71305,12.95
"hey guys follow",41,71346,12.96
"hey guys just",41,71387,12.96
"let go caps",41,71428,12.97
"like ice cream",41,71469,12.98
"live www com",41,71510,12.99
"make feel good",41,71551,12.99
"make seem like",41,71592,13
"oh em gee",41,71633,13.01
"people need learn",41,71674,13.02
"soon let know",41,71715,13.02
"sweet today wish",41,71756,13.03
"tell happy birthday",41,71797,13.04
"today looks like",41,71838,13.05
"traffic tweet brought",41,71879,13.05
"weather west virginia",41,71920,13.06
"busy day ahead",40,71960,13.07
"come san diego",40,72000,13.07
"don human promise",40,72040,13.08
"don want think",40,72080,13.09
"easier said done",40,72120,13.1
"feel like today",40,72160,13.1
"feels good home",40,72200,13.11
"following poised creation",40,72240,13.12
"glad feeling better",40,72280,13.13
"good morning day",40,72320,13.13
"gotta go get",40,72360,13.14
"happy birthday big",40,72400,13.15
"happy birthday friend",40,72440,13.15
"happy veteran day",40,72480,13.16
"healthy new year",40,72520,13.17
"hottest hip hop",40,72560,13.18
"hours last night",40,72600,13.18
"human promise follow",40,72640,13.19
"international film festival",40,72680,13.2
"just go home",40,72720,13.21
"just look like",40,72760,13.21
"keep doing doing",40,72800,13.22
"know don want",40,72840,13.23
"know going get",40,72880,13.23
"let countdown begin",40,72920,13.24
"let just hope",40,72960,13.25
"let know soon",40,73000,13.26
"let know thoughts",40,73040,13.26
"looks like doing",40,73080,13.27
"number friends birthday",40,73120,13.28
"ny red cross",40,73160,13.29
"path leave trail",40,73200,13.29
"sounds like lot",40,73240,13.3
"spam followers don",40,73280,13.31
"start new job",40,73320,13.31
"things don want",40,73360,13.32
"today pm pm",40,73400,13.33
"able get married",39,73439,13.34
"big happy birthday",39,73478,13.34
"comment android market",39,73517,13.35
"day work week",39,73556,13.36
