"","value","count","cumsum","pct"
"798","have no",10,21553,29.56
"799","he did",10,21563,29.57
"800","here in",10,21573,29.58
"801","him and",10,21583,29.6
"802","him to",10,21593,29.61
"803","his and",10,21603,29.62
"804","home and",10,21613,29.64
"805","i felt",10,21623,29.65
"806","in but",10,21633,29.67
"807","in i",10,21643,29.68
"808","in it",10,21653,29.69
"809","into my",10,21663,29.71
"810","it me",10,21673,29.72
"811","it off",10,21683,29.73
"812","it out",10,21693,29.75
"813","it that",10,21703,29.76
"814","less than",10,21713,29.78
"815","life and",10,21723,29.79
"816","little bit",10,21733,29.8
"817","live in",10,21743,29.82
"818","make it",10,21753,29.83
"819","may be",10,21763,29.84
"820","may have",10,21773,29.86
"821","me in",10,21783,29.87
"822","my for",10,21793,29.88
"823","my husband",10,21803,29.9
"824","now that",10,21813,29.91
"825","of her",10,21823,29.93
"826","of to",10,21833,29.94
"827","of which",10,21843,29.95
"828","on his",10,21853,29.97
"829","one day",10,21863,29.98
"830","only the",10,21873,29.99
"831","our and",10,21883,30.01
"832","s all",10,21893,30.02
"833","s going",10,21903,30.04
"834","s it",10,21913,30.05
"835","said i",10,21923,30.06
"836","she to",10,21933,30.08
"837","she would",10,21943,30.09
"838","so far",10,21953,30.1
"839","so the",10,21963,30.12
"840","starting to",10,21973,30.13
"841","supposed to",10,21983,30.15
"842","t been",10,21993,30.16
"843","t do",10,22003,30.17
"844","that were",10,22013,30.19
"845","the big",10,22023,30.2
"846","the doctor",10,22033,30.21
"847","the following",10,22043,30.23
"848","the front",10,22053,30.24
"849","the good",10,22063,30.26
"850","the have",10,22073,30.27
"851","the it",10,22083,30.28
"852","the morning",10,22093,30.3
"853","the paper",10,22103,30.31
"854","the place",10,22113,30.32
"855","the point",10,22123,30.34
"856","the so",10,22133,30.35
"857","the u",10,22143,30.36
"858","the united",10,22153,30.38
"859","the water",10,22163,30.39
"860","the with",10,22173,30.41
"861","the woman",10,22183,30.42
"862","them in",10,22193,30.43
"863","these are",10,22203,30.45
"864","this and",10,22213,30.46
"865","though i",10,22223,30.47
"866","time for",10,22233,30.49
"867","time with",10,22243,30.5
"868","to his",10,22253,30.52
"869","to run",10,22263,30.53
"870","to stay",10,22273,30.54
"871","to stop",10,22283,30.56
"872","to use",10,22293,30.57
"873","top of",10,22303,30.58
"874","use the",10,22313,30.6
"875","was an",10,22323,30.61
"876","was on",10,22333,30.63
"877","were all",10,22343,30.64
"878","where they",10,22353,30.65
"879","which the",10,22363,30.67
"880","with our",10,22373,30.68
"881","with that",10,22383,30.69
"882","with them",10,22393,30.71
"883","with your",10,22403,30.72
"884","working on",10,22413,30.74
"885","you a",10,22423,30.75
"886","you all",10,22433,30.76
"887","you get",10,22443,30.78
"888","your own",10,22453,30.79
"889","a bad",9,22462,30.8
"890","a large",9,22471,30.81
"891","a look",9,22480,30.83
"892","a lovely",9,22489,30.84
"893","a of",9,22498,30.85
"894","a really",9,22507,30.86
"895","a whole",9,22516,30.88
"896","about my",9,22525,30.89
"897","about to",9,22534,30.9
"898","across the",9,22543,30.91
"899","along the",9,22552,30.93
"900","and just",9,22561,30.94
"901","and no",9,22570,30.95
"902","and their",9,22579,30.96
"903","are still",9,22588,30.98
"904","as she",9,22597,30.99
"905","as soon",9,22606,31
"906","as this",9,22615,31.01
"907","at in",9,22624,31.02
"908","back in",9,22633,31.04
"909","back on",9,22642,31.05
"910","be so",9,22651,31.06
"911","be with",9,22660,31.07
"912","because the",9,22669,31.09
"913","because we",9,22678,31.1
"914","before you",9,22687,31.11
"915","bunch of",9,22696,31.12
"916","but in",9,22705,31.14
"917","can you",9,22714,31.15
"918","chance to",9,22723,31.16
"919","continue to",9,22732,31.17
"920","could have",9,22741,31.18
"921","d be",9,22750,31.2
"922","do with",9,22759,31.21
"923","enough to",9,22768,31.22
"924","for more",9,22777,31.23
"925","for those",9,22786,31.25
